rule	jobs	total_seconds	longest_seconds
reparation	1	2652	2652
map	2	764	476
parseDeepRibo	1	356	356
predictDeepRibo	1	287	287
fastqcmulti	2	183	113
samuniq	2	166	103
parameterEstimation	1	148	148
sammultitobam	2	131	92
generateAnnotationTotalReadCounts	1	120	120
totalMappedReads	1	107	107
globalwig	2	54	28
centeredwig	2	51	29
trim_single	2	43	25
generateAnnotationIndependantReadCounts	1	39	39
generateDifferentialExpressionReadCounts	1	38	38
fastqcraw_single	2	33	20
fastqctrimmed_single	2	32	19
preparePCAinput	1	30	30
fiveprimewig	2	21	11
fiveprimewigtobigwigminforward	2	21	20
centeredwigtobigwigmilforward	2	20	20
mapIndependantReads	1	17	17
threeprimewig	2	16	8
fastqcunique	2	14	8
metageneProfiling	1	13	13
generateAnnotationUniqueReadCounts	1	11	11
bamcompare	1	11	11
fiveprimewigtobigwigrawforward	2	11	11
createExcelTotalAnnotation	1	10	10
totalmappedbamindex	2	9	5
createOverviewTablePredictions	1	9	9
rrnatotalfeaturescounts	2	8	5
rrnafilter2	2	6	3
createExcelUniqueAnnotation	1	6	6
fastqcrrnafilter	2	6	3
multiqc	1	6	6
uniqueMappedReads	1	5	5
fiveprimewigtobigwimilgreverse	2	5	5
centeredwigtobigwigminrawreverse	2	5	3
globalwigtobigwigminforward	2	5	3
plotCorrelation	1	5	5
globalwigtobigwigminrawreverse	2	5	3
genomeSegemehlIndex	1	4	4
samtobam	2	4	2
centeredwigtobigwigminreverse	2	4	3
globalwigtobigwigminreverse	2	4	2
readLengthStatistics	1	4	4
createExcelSummary	1	4	4
maplinkMappedReads	1	3	3
coverage	1	3	3
threeprimewigtobigwigmilreverse	2	3	2
centeredwigtobigwigrawforward	2	3	2
globalwigtobigwigmilreverse	2	3	2
globalwigtobigwigrawforward	2	3	2
generateReparationReadCounts	1	3	3
samplesToExcel	1	2	2
rrnauniquefeaturescounts	2	2	1
norrnafeaturescounts	2	2	1
asiteOccupancy	1	2	2
centeredwigtobigwigminforward	2	2	1
globalwigtobigwigmilforward	2	2	1
centeredwigtobigwigmilreverse	2	2	1
fiveprimewigtobigwigmilforward	2	2	1
deepriboGFF	1	2	2
createExcelSummaryDeepRibo	1	2	2
reparationGFF	1	2	2
uniprotDBRetrieve	1	1	1
retrieveGenome	1	1	1
deepriboGetModel	1	1	1
reversecomplementGenome	1	1	1
genomeSize	1	1	1
checkAnnotation	1	1	1
stopCodonTrack	1	1	1
alternativeStartCodonTrack	1	1	1
enrichAnnotation	1	1	1
rrnaannotation	1	1	1
samstrandswap	2	1	1
unambigousAnnotation	1	1	1
mapTotalReads	1	1	1
createExcelTotalAnnotationReadCount	1	1	1
mapUniqueReads	1	1	1
bamindex	2	1	1
featurescounts	2	1	1
trnafeaturescounts	2	1	1
fiveprimewigtobigwigrawreverse	2	1	1
threeprimewigtobigwigrawforward	2	1	1
threeprimewigtobigwigmilforward	2	1	1
threeprimewigtobigwigminreverse	2	1	1
fiveprimewigtobigwigminreverse	2	1	1
filterDeepRibo	1	1	1
generateDeepRiboReadCounts	1	1	1
mapDeepRiboReads	1	1	1
concatReparation	1	1	1
mergeAll	1	1	1
filterAll	1	1	1
mapReparationReads	1	1	1
link_single	2	0	0
retrieveAnnotation	1	0	0
genomeSamToolsIndex	1	0	0
startCodonTrack	1	0	0
rbsTrack	1	0	0
uniquemappedbamindex	2	0	0
maplink	2	0	0
createExcelUniqueAnnotationReadCount	1	0	0
threeprimewigtobigwigrawreverse	2	0	0
threeprimewigtobigwigminforward	2	0	0
concatDeepRibo	1	0	0
allDeepRibo	1	0	0
mergeConditions	1	0	0
reannotatedORFs	1	0	0
