Identifier,RIBO_GLY_1,RNA_GLY_1
NC_002516.2:483-2027:+,204,123
NC_002516.2:2056-3159:+,342,145
NC_002516.2:3169-4278:+,91,103
NC_002516.2:4275-6695:+,663,327
NC_002516.2:7018-7791:-,35,45
NC_002516.2:7803-8339:-,38,20
NC_002516.2:8671-10377:+,65,39
NC_002516.2:10434-12488:-,192,65
NC_002516.2:12488-13435:-,119,30
NC_002516.2:13540-14091:+,32,14
NC_002516.2:14235-15122:+,73,58
NC_002516.2:15207-15473:+,2,16
NC_002516.2:15620-16273:+,15,4
NC_002516.2:16335-16607:-,3,3
NC_002516.2:16900-17217:-,38,12
NC_002516.2:17366-18739:-,34,21
NC_002516.2:18767-20071:-,28,10
NC_002516.2:20068-21012:-,20,8
NC_002516.2:21067-21573:-,71,40
NC_002516.2:21712-22737:+,83,24
NC_002516.2:22872-23960:+,1,2
NC_002516.2:24001-24558:+,25,13
NC_002516.2:24568-25545:-,46,5
NC_002516.2:25736-26653:+,49,24
NC_002516.2:26711-27535:+,26,17
NC_002516.2:27646-28632:+,8,3
NC_002516.2:28613-29899:+,7,3
NC_002516.2:29896-30498:+,0,0
NC_002516.2:30502-32055:-,2,5
NC_002516.2:32060-32983:-,2,2
NC_002516.2:33000-34511:-,4,1
NC_002516.2:34624-35538:+,18,3
NC_002516.2:35549-35926:+,37,4
NC_002516.2:35905-36270:-,7,1
NC_002516.2:36278-36901:-,2,1
NC_002516.2:37087-37893:-,222,35
NC_002516.2:37890-39098:-,290,53
NC_002516.2:39202-40089:+,6,3
NC_002516.2:40190-40405:+,76,37
NC_002516.2:40589-40816:+,365,147
NC_002516.2:41113-42801:+,13,8
NC_002516.2:42914-53521:+,298,221
NC_002516.2:54121-54822:+,16,29
NC_002516.2:56546-56941:+,21,15
NC_002516.2:57212-58594:-,8,11
NC_002516.2:58786-60159:+,15,15
NC_002516.2:60656-61342:+,16,0
NC_002516.2:61373-61726:+,11,2
NC_002516.2:61879-62388:+,9,9
NC_002516.2:62403-62786:-,3,0
NC_002516.2:63068-64729:-,5,1
NC_002516.2:65339-65479:+,73,49
NC_002516.2:66303-68135:+,3,7
NC_002516.2:68188-68616:-,0,3
NC_002516.2:69543-70091:-,13,7
NC_002516.2:70130-70636:-,58,11
NC_002516.2:70702-71622:-,3,2
NC_002516.2:71730-72617:+,4,2
NC_002516.2:72680-73384:+,4,1
NC_002516.2:73468-73923:+,22,36
