ORF_locus	strand	length	start_codon	ribo_count	ribo_rpkm	ribo_coverage	SD_score	SD_pos	prob	ORF_type	Reference	Distance_from_aTIS
NC_002516.2:1000013-1001914	+	1902	ATG	43	35.323670173691	0.0204724409448819	-1.83739499462898	1000006	0.762745751416195	Intergenic	NA	NA
NC_002516.2:100124-101155	+	1032	GTG	29	43.8480206436481	0.0231884057971014	-2.09011033324794	100117	0.786404531822726	Intergenic	NA	NA
NC_002516.2:101247-101762	+	516	ATG	297	895.532675952044	0.225433526011561	-1.58031063418991	101240	0.936021326224592	Intergenic	NA	NA
NC_002516.2:1020708-1021604	+	897	ATG	67	116.499654848038	0.0644444444444444	-1.59031835936804	1020701	0.694435188270576	Intergenic	NA	NA
NC_002516.2:1021754-1022965	+	1212	ATG	55	70.8400333514877	0.0403292181069959	-1.81622802729629	1021748	0.932022659113629	Intergenic	NA	NA
NC_002516.2:1024736-1025293	+	558	TTG	22	61.3694406574385	0.0338680926916221	-1.81718638068785	1024728	0.59346884371876	Intergenic	NA	NA
NC_002516.2:1028172-1029497	+	1326	ATG	252	296.734406068247	0.112114371708051	-1.82411603991713	1028166	0.635121626124625	Intergenic	NA	NA
NC_002516.2:101778-103271	+	1494	ATG	444	464.144827737822	0.15564462257849	-1.87315528917735	101772	0.888037320893036	Intergenic	NA	NA
NC_002516.2:1034038-1035072	+	1035	ATG	40	60.3052307038413	0.0375722543352601	-1.80896134280955	1034030	0.841719426857714	Intergenic	NA	NA
NC_002516.2:103312-103554	+	243	TTG	704	4478.47235236722	0.544715447154472	-1.80354669996896	103304	0.723758747084305	Intergenic	NA	NA
NC_002516.2:9034-10374	+	1341	GTG	38	44.2462708311443	0.0260416666666667	-1.69529822678312	9027	0.508830389870043	Intergenic	NA	NA
NC_002516.2:1037650-1038882	+	1233	ATG	21	26.5884591197883	0.0161812297734628	-1.86395250687311	1037642	0.677440853048984	Intergenic	NA	NA
NC_002516.2:103436-103966	+	531	ATG	470	1377.36469340712	0.342696629213483	-1.87155068872196	103428	0.585804731756081	Intergenic	NA	NA
NC_002516.2:1040432-1040704	+	273	ATG	24	136.080064066494	0.0760869565217391	-1.69636569630123	1040425	0.633122292569144	Intergenic	NA	NA
NC_002516.2:1040559-1041653	+	1095	GTG	15	21.3786985896815	0.0136612021857923	-1.59046678248604	1040552	0.533155614795068	Intergenic	NA	NA
NC_002516.2:1046033-1046458	+	426	ATG	32	116.730684327436	0.0629370629370629	-1.80049404652177	1046025	0.572809063645451	Intergenic	NA	NA
NC_002516.2:1046462-1046668	+	207	ATG	4	29.808014033613	0.019047619047619	-1.69374121693391	1046455	0.601799400199933	Intergenic	NA	NA
NC_002516.2:104066-104848	+	783	ATG	78	155.297477694205	0.0470737913486005	-1.62534546079326	104059	0.673775408197268	Intergenic	NA	NA
NC_002516.2:1048459-1050231	+	1773	ATG	312	274.918507810012	0.119369369369369	-1.93161157752103	1048452	0.838053982005998	Intergenic	NA	NA
NC_002516.2:1050301-1051044	+	744	ATG	136	284.911941365458	0.1285140562249	-1.81559759497555	1050295	0.930023325558147	Intergenic	NA	NA
NC_002516.2:1051132-1051653	+	522	ATG	14	41.7312196470582	0.0228571428571429	-3.05521601752214	1051122	0.677107630789737	Intergenic	NA	NA
NC_002516.2:1051673-1052275	+	603	GTG	28	72.3065686953979	0.0280528052805281	-1.83739499462898	1051666	0.794735088303899	Intergenic	NA	NA
NC_002516.2:1052289-1053344	+	1056	ATG	55	81.2753923721035	0.0424929178470255	-1.5833632876371	1052282	0.807064311896035	Intergenic	NA	NA
NC_002516.2:104853-105359	+	507	ATG	40	122.738881314877	0.0450980392156863	-1.58904402248068	104846	0.643452182605798	Intergenic	NA	NA
NC_002516.2:1053464-1053664	+	201	ATG	39	299.176023205013	0.117647058823529	-1.58115600985984	1053457	0.636454515161613	Intergenic	NA	NA
NC_002516.2:1053848-1054540	+	693	GTG	209	469.925910896291	0.15948275862069	-1.81538265162636	1053842	0.98167277574142	Intergenic	NA	NA
NC_002516.2:1054566-1055003	+	438	ATG	83	294.53156723689	0.0997732426303855	-2.13981365449023	1054559	0.692102632455848	Intergenic	NA	NA
NC_002516.2:1055009-1056049	+	1041	TTG	124	185.87181164638	0.0440613026819923	-2.53899322916601	1055001	0.616127957347551	Intergenic	NA	NA
NC_002516.2:1056049-1057344	+	1296	GTG	257	309.610954078925	0.107005388760585	-1.85826668407276	1056041	0.910696434521826	Intergenic	NA	NA
NC_002516.2:1057397-1057903	+	507	ATG	1464	4492.2430561245	0.580392156862745	-1.68770997791697	1057390	0.705431522825725	Intergenic	NA	NA
NC_002516.2:1057916-1058737	+	822	ATG	77	146.059268764704	0.0775757575757576	-1.8844815321564	1057910	0.526157947350883	Intergenic	NA	NA
NC_002516.2:1059622-1060293	+	672	ATG	57	132.148862215684	0.0474074074074074	-1.85938027725901	1059616	0.719426857714095	Intergenic	NA	NA
NC_002516.2:1062793-1062882	+	90	TTG	2	33.6542093927889	0.021505376344086	-1.5805255775391	1062786	0.667777407530823	Intergenic	NA	NA
NC_002516.2:1062915-1063541	+	627	TTG	53	131.652061981791	0.0714285714285714	-1.80049404652177	1062907	0.673442185938021	Intergenic	NA	NA
NC_002516.2:105359-107215	+	1857	ATG	40	33.6542093927889	0.0193548387096774	-1.81431912889247	105353	0.870709763412196	Intergenic	NA	NA
NC_002516.2:1080009-1080857	+	849	ATG	4	7.34704571251025	0.00469483568075117	-1.79943052378788	1080001	0.761412862379207	Intergenic	NA	NA
NC_002516.2:1080853-1081896	+	1044	ATG	7	10.4626983355805	0.00668576886341929	-1.69374121693391	1080846	0.621126291236255	Intergenic	NA	NA
NC_002516.2:1087843-1088898	+	1056	ATG	31	45.809766609731	0.0292728989612842	-1.82182526050646	1087835	0.718093968677108	Intergenic	NA	NA
NC_002516.2:1093251-1094126	+	876	ATG	199	354.288084887568	0.117178612059158	-1.58065996639344	1093244	0.989670109963346	Intergenic	NA	NA
NC_002516.2:1094126-1095334	+	1209	TTG	179	231.122782079933	0.102310231023102	-1.59983095922747	1094119	0.771742752415861	Intergenic	NA	NA
NC_002516.2:1095276-1096031	+	756	ATG	49	101.029138473609	0.0513833992094862	-1.81284556851864	1095268	0.553815394868377	Intergenic	NA	NA
NC_002516.2:1096063-1096770	+	708	ATG	152	334.554081558695	0.140646976090014	-1.81573198382989	1096057	0.968343885371543	Intergenic	NA	NA
